"id","nama","kecamatan_id","longitude","latitude"
"136","LHOK PAUH","1101051",NULL,NULL
"137","LAMEREM","1101051",NULL,NULL
"138","LEWAK","1101051",NULL,NULL
"139","PULAU BAGUK","1102010",NULL,NULL
"140","PULAU BALAI","1102010",NULL,NULL
"141","TELUK NIBUNG","1102010",NULL,NULL
"142","ASANTOLA","1102011",NULL,NULL
"143","UJUNG SIALIT","1102011",NULL,NULL
"144","HALOBAN","1102011",NULL,NULL
"145","SUKA MAKMUR","1102011",NULL,NULL
"146","PULO SAROK","1102020",NULL,NULL
"147","PASAR SINGKIL","1102020",NULL,NULL
"148","UJUNG","1102020",NULL,NULL
"149","KOTA SIMBOLING","1102020",NULL,NULL
"150","KILANGAN","1102020",NULL,NULL
"151","TELUK AMBUN","1102020",NULL,NULL
"152","RANTAU GEDANG","1102020",NULL,NULL
"153","TELUK RUMBIA","1102020",NULL,NULL
"154","TAKAL PASIR","1102020",NULL,NULL
"155","SELOK ACEH","1102020",NULL,NULL
"156","PEA BUMBUNG","1102020",NULL,NULL
"157","PEMUKA","1102020",NULL,NULL
"158","SUKA DAMAI","1102020",NULL,NULL
"159","UJUNG BAWANG","1102020",NULL,NULL
"160","SITI AMBIA","1102020",NULL,NULL
"161","SUKA MAKMUR","1102020",NULL,NULL
"162","GOSONG TELAGA UTARA","1102021",NULL,NULL
"163","GOSONG TELAGA SELATAN","1102021",NULL,NULL
"164","GOSONG TELAGA TIMUR","1102021",NULL,NULL
"165","TELAGA BAKTI","1102021",NULL,NULL
"166","KAMPUNG BARU","1102021",NULL,NULL
"167","KETAPANG INDAH","1102021",NULL,NULL
"168","GOSONG TELAGA BARAT","1102021",NULL,NULL
"169","KAYU MENANG","1102022",NULL,NULL
"170","KUALA BARU SUNGAI","1102022",NULL,NULL
"171","KUALA BARU LAUT","1102022",NULL,NULL
"172","SUKA JAYA","1102022",NULL,NULL
"173","PANGI","1102030",NULL,NULL
"174","TUGAN","1102030",NULL,NULL
"175","CIBUBUKAN","1102030",NULL,NULL
"176","KAIN GOLONG","1102030",NULL,NULL
"177","SUKAREJO","1102030",NULL,NULL
"178","TUH TUHAN","1102030",NULL,NULL
"179","LAE GECIH","1102030",NULL,NULL
"180","SIATAS","1102030",NULL,NULL
"181","KUTA KERANGAN","1102030",NULL,NULL
"182","LIPAT KAJANG","1102030",NULL,NULL
"183","TANJUNG MAS","1102030",NULL,NULL
"184","SERASAH","1102030",NULL,NULL
"185","UJUNG LIMUS","1102030",NULL,NULL
"186","SILATONG","1102030",NULL,NULL
"187","LAE RIMAN","1102030",NULL,NULL
"188","PERTABAS","1102030",NULL,NULL
"189","KUTA TINGGI","1102030",NULL,NULL
"190","LAE NIPE","1102030",NULL,NULL
"191","PAKIRAMAN","1102030",NULL,NULL
"192","LAE GAMBIR","1102030",NULL,NULL
"193","KUTA BATU","1102030",NULL,NULL
"194","GUHA","1102030",NULL,NULL
"195","LIPAT KAJANG ATAS","1102030",NULL,NULL
"196","SIDODADI","1102030",NULL,NULL
"197","PANDAN SARI","1102030",NULL,NULL
"198","PERTAMPAKAN","1102031",NULL,NULL
"199","TANAH MERAH","1102031",NULL,NULL
"200","SEBATANG","1102031",NULL,NULL
"201","SEPING BARU","1102031",NULL,NULL
"202","PERANGUSAN","1102031",NULL,NULL
"203","GUNUNG LAGAN","1102031",NULL,NULL
"204","TANAH BARA","1102031",NULL,NULL
"205","SUKA MAKMUR","1102031",NULL,NULL
"206","SIDOREJO","1102031",NULL,NULL
"207","PANDAN SARI","1102031",NULL,NULL
"208","BLOK 31","1102031",NULL,NULL
"209","BLOK 18","1102031",NULL,NULL
"210","SANGGABERU SILULUSAN","1102031",NULL,NULL
"211","BLOK 15","1102031",NULL,NULL
"212","TULAAN","1102031",NULL,NULL
"213","BLOK VI BARU","1102031",NULL,NULL
"214","TUNAS HARAPAN","1102031",NULL,NULL
"215","LAE BUTAR","1102031",NULL,NULL
"216","RIMO","1102031",NULL,NULL
"217","SIANJO ANJO MERIAH","1102031",NULL,NULL
"218","CINGKAM","1102031",NULL,NULL
"219","BUKIT HARAPAN","1102031",NULL,NULL
"220","PENJAHITAN","1102031",NULL,NULL
"221","TANJUNG BETIK","1102031",NULL,NULL
"222","LABUHAN KERA","1102031",NULL,NULL
"223","SITUBAN MAKMUR","1102032",NULL,NULL
"224","LAE BALNO","1102032",NULL,NULL
"225","SIKORAN","1102032",NULL,NULL
"226","NAPA GALUH","1102032",NULL,NULL
"227","BISKANG","1102032",NULL,NULL
"228","SITUBUH-TUBUH","1102032",NULL,NULL
"229","MANDUMPANG","1102033",NULL,NULL
"230","ALUR LINCI","1102033",NULL,NULL
"231","SIRIMO MUNGKUR","1102033",NULL,NULL
"232","KERAS","1102033",NULL,NULL
"233","KETANGKUHAN","1102033",NULL,NULL
